oms_risk,uv_index,altitude,temperature,pressure,humidity,timestamp,sensor,DateN,TimeN,sequenceTime,Time
NA,NA,NA,NA,NA,72.84285736,1.90717E+11,humidity,190717,214854,207,2017-07-19 21:48:54
Low,0.342704147,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214856,208,2017-07-19 21:48:56
Low,0.352074951,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214858,209,2017-07-19 21:48:58
Low,0.269076318,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214900,210,2017-07-19 21:49:00
NA,NA,257.75,35.3125,98265.75,NA,1.90717E+11,pressure_temperature,190717,214900,211,2017-07-19 21:49:00
NA,NA,NA,NA,NA,72.16666412,1.90717E+11,humidity,190717,214900,212,2017-07-19 21:49:00
Low,0.329317272,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214902,213,2017-07-19 21:49:02
Low,0.336010695,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214904,214,2017-07-19 21:49:04
NA,NA,257.375,35.4375,98271.75,NA,1.90717E+11,pressure_temperature,190717,214905,215,2017-07-19 21:49:05
NA,NA,NA,NA,NA,73.27062225,1.90717E+11,humidity,190717,214905,216,2017-07-19 21:49:05
Low,0.345381528,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214906,217,2017-07-19 21:49:06
Low,0.342704147,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214908,218,2017-07-19 21:49:08
Low,0.348058909,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214910,219,2017-07-19 21:49:10
NA,NA,257.4375,35.5625,98269.25,NA,1.90717E+11,pressure_temperature,190717,214910,220,2017-07-19 21:49:10
NA,NA,NA,NA,NA,73.26434326,1.90717E+11,humidity,190717,214910,221,2017-07-19 21:49:10
Low,0.309236944,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214912,222,2017-07-19 21:49:12
Low,0.227576971,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214914,223,2017-07-19 21:49:14
NA,NA,257.25,35.6875,98273.75,NA,1.90717E+11,pressure_temperature,190717,214915,224,2017-07-19 21:49:15
NA,NA,NA,NA,NA,72.5344162,1.90717E+11,humidity,190717,214915,225,2017-07-19 21:49:15
Low,0.244979918,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214916,226,2017-07-19 21:49:16
Low,0.235609099,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214918,227,2017-07-19 21:49:18
Low,0.313253015,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214920,228,2017-07-19 21:49:20
NA,NA,257.0625,35.8125,98275,NA,1.90717E+11,pressure_temperature,190717,214920,229,2017-07-19 21:49:20
NA,NA,NA,NA,NA,72.93427277,1.90717E+11,humidity,190717,214920,230,2017-07-19 21:49:20
Low,0.464524776,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214922,231,2017-07-19 21:49:22
Low,0.340026766,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214924,232,2017-07-19 21:49:24
NA,NA,256.5625,36,98272,NA,1.90717E+11,pressure_temperature,190717,214924,233,2017-07-19 21:49:24
NA,NA,NA,NA,NA,73.07523346,1.90717E+11,humidity,190717,214924,234,2017-07-19 21:49:24
Low,0.23694779,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214926,235,2017-07-19 21:49:26
Low,0.204819277,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214928,236,2017-07-19 21:49:28
Low,0.157965198,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214930,237,2017-07-19 21:49:30
NA,NA,254.8125,36.1875,98299.25,NA,1.90717E+11,pressure_temperature,190717,214930,238,2017-07-19 21:49:30
NA,NA,NA,NA,NA,71.40324402,1.90717E+11,humidity,190717,214930,239,2017-07-19 21:49:30
Low,0.27443105,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214932,240,2017-07-19 21:49:32
