"","long","course","lat","speed","day","utc_time","DateN","TimeN","Time","sequenceTime"
"738","08423.1299","178.70","3345.9549","14.61","200717",1525,"1525","",NA,738
"739","08423.1299","177.66","3345.9507","13.52","200717",1526,"1526","",NA,739
"740","08423.1299","182.02","3345.9468","13.76","200717",1527,"1527","",NA,740
"741","08423.1303","184.56","3345.9428","14.13","200717",1528,"1528","",NA,741
"742","08423.1308","184.06","3345.9390","13.44","200717",1529,"1529","",NA,742
"743","08423.1310","183.52","3345.9353","13.24","200717",1530,"1530","",NA,743
"744","08423.1313","184.14","3345.9315","13.06","200717",1531,"1531","",NA,744
"745","08423.1314","184.63","3345.9277","12.79","200717",1532,"1532","",NA,745
"746","08423.1319","184.19","3345.9241","12.43","200717",1533,"1533","",NA,746
"747","08423.1326","189.69","3345.9206","12.72","200717",1534,"1534","",NA,747
"748","08423.1334","189.62","3345.9172","11.98","200717",1535,"1535","",NA,748
"749","08423.1340","189.02","3345.9139","11.36","200717",1536,"1536","",NA,749
"750","08423.1345","189.77","3345.9108","11.06","200717",1537,"1537","",NA,750
"751","08423.1351","190.60","3345.9076","11.54","200717",1538,"1538","",NA,751
"752","08423.1361","193.72","3345.9047","10.53","200717",1539,"1539","",NA,752
"753","08423.1370","194.15","3345.9023","8.34","200717",1540,"1540","",NA,753
"754","08423.1378","195.40","3345.8996","10.24","200717",1541,"1541","",NA,754
"755","08423.1387","195.74","3345.8965","11.32","200717",1542,"1542","",NA,755
"756","08423.1397","195.68","3345.8934","11.33","200717",1543,"1543","",NA,756
"757","08423.1413","199.78","3345.8909","10.94","200717",1544,"1544","",NA,757
"758","08423.1426","199.35","3345.8879","10.74","200717",1545,"1545","",NA,758
"759","08423.1438","199.27","3345.8850","10.50","200717",1546,"1546","",NA,759
"760","08423.1448","198.31","3345.8823","10.27","200717",1547,"1547","",NA,760
"761","08423.1459","200.50","3345.8796","9.66","200717",1548,"1548","",NA,761
"762","08423.1469","200.37","3345.8769","9.69","200717",1549,"1549","",NA,762
"763","08423.1480","199.91","3345.8744","9.26","200717",1550,"1550","",NA,763
"764","08423.1489","199.30","3345.8718","10.56","200717",1551,"1551","",NA,764
"765","08423.1501","199.49","3345.8691","10.91","200717",1552,"1552","",NA,765
"766","08423.1512","199.60","3345.8662","9.77","200717",1553,"1553","",NA,766
"767","08423.1526","212.83","3345.8638","9.77","200717",1554,"1554","",NA,767
"768","08423.1545","212.71","3345.8613","10.25","200717",1555,"1555","",NA,768
"769","08423.1563","212.29","3345.8588","10.32","200717",1556,"1556","",NA,769
"770","08423.1579","210.82","3345.8559","10.71","200717",1557,"1557","",NA,770
"771","08423.1598","211.53","3345.8533","11.71","200717",1558,"1558","",NA,771
"772","08423.1620","213.36","3345.8504","12.29","200717",1559,"1559","",NA,772
"773","08423.1644","214.04","3345.8476","12.47","200717",1600,"1600","",NA,773
"774","08423.1668","215.48","3345.8448","11.92","200717",1601,"1601","",NA,774
"775","08423.1689","215.28","3345.8421","11.47","200717",1602,"1602","",NA,775
"776","08423.1703","214.23","3345.8393","12.11","200717",1603,"1603","",NA,776
"777","08423.1723","213.99","3345.8363","11.65","200717",1604,"1604","",NA,777
"778","08423.1745","214.89","3345.8339","10.68","200717",1605,"1605","",NA,778
"779","08423.1761","216.15","3345.8321","8.84","200717",1606,"1606","",NA,779
"780","08423.1776","216.57","3345.8301","8.78","200717",1607,"1607","",NA,780
"781","08423.1792","216.62","3345.8280","9.36","200717",1608,"1608","",NA,781
"782","08423.1806","216.07","3345.8266","7.54","200717",1609,"1609","",NA,782
"783","08423.1820","213.98","3345.8246","7.60","200717",1610,"1610","",NA,783
"784","08423.1835","213.70","3345.8229","7.82","200717",1611,"1611","",NA,784
"785","08423.1851","214.07","3345.8208","8.66","200717",1612,"1612","",NA,785
