long,course,lat,speed,day,utc_time,Time
8424.1952,352.48,3346.9886,7.51,200717,14335,2017-07-20 14:33:05
8424.1957,351.97,3346.9906,6.75,200717,14336,2017-07-20 14:33:06
8424.196,351.11,3346.9928,7.12,200717,14337,2017-07-20 14:33:07
8424.1965,351.08,3346.995,7.06,200717,14338,2017-07-20 14:33:08
8424.1965,351,3346.9971,7.34,200717,14339,2017-07-20 14:33:09
8424.1964,1.29,3347,8.02,200717,14340,2017-07-20 14:34:00
8424.1962,9.85,3347.002,7.19,200717,14341,2017-07-20 14:34:01
8424.196,11.07,3347.0042,6.14,200717,14342,2017-07-20 14:34:02
8424.1955,16.7,3347.0057,4.98,200717,14343,2017-07-20 14:34:03
8424.1952,16.54,3347.0074,4.44,200717,14344,2017-07-20 14:34:04
8424.1947,17.11,3347.0083,3.55,200717,14345,2017-07-20 14:34:05
8424.1944,11.76,3347.0093,3.55,200717,14346,2017-07-20 14:34:06
8424.1942,13.41,3347.0108,3.92,200717,14347,2017-07-20 14:34:07
8424.1939,11.24,3347.0128,6.1,200717,14348,2017-07-20 14:34:08
8424.1937,2.8,3347.0149,6.4,200717,14349,2017-07-20 14:34:09
8424.1937,357.93,3347.017,6.82,200717,14350,2017-07-20 14:35:00
8424.194,356.23,3347.0195,7.23,200717,14351,2017-07-20 14:35:01
8424.1945,351.7,3347.0223,8.2,200717,14352,2017-07-20 14:35:02
8424.1952,346.96,3347.0247,7.77,200717,14353,2017-07-20 14:35:03
8424.1961,343.38,3347.0269,7.35,200717,14354,2017-07-20 14:35:04
NA,0,NA,0,200717,184045.092,2017-07-20 18:40:45
NA,0,NA,0,200717,184053.092,2017-07-20 18:40:53
NA,0,NA,0,200717,184054.092,2017-07-20 18:40:54
NA,0,NA,0,200717,184055.092,2017-07-20 18:40:55
NA,0,NA,0,200717,184056.092,2017-07-20 18:40:56
NA,0,NA,0,200717,184057.092,2017-07-20 18:40:57
NA,0,NA,0,200717,184058.087,2017-07-20 18:40:58
NA,0,NA,0,200717,184059.093,2017-07-20 18:40:59
NA,0,NA,0,200717,184100.08,2017-07-20 18:41:00
NA,263.96,NA,1.36,200717,184101.301,2017-07-20 18:41:01
NA,263.96,NA,0.06,200717,184102.301,2017-07-20 18:41:02
NA,263.96,NA,0.28,200717,184103.301,2017-07-20 18:41:03
NA,263.96,NA,0.16,200717,184105.301,2017-07-20 18:41:05
NA,263.96,NA,0.09,200717,184106.088,2017-07-20 18:41:06
NA,263.96,NA,0.13,200717,184107.088,2017-07-20 18:41:07
NA,268.18,NA,0.65,200717,184108.088,2017-07-20 18:41:08
NA,269.46,NA,0.84,200717,184109.088,2017-07-20 18:41:09
NA,269.46,NA,0.02,200717,184110.088,2017-07-20 18:41:10
NA,269.46,NA,0.22,200717,184111.088,2017-07-20 18:41:11
NA,269.46,NA,0.01,200717,184112.088,2017-07-20 18:41:12
NA,269.46,NA,0.17,200717,184113.308,2017-07-20 18:41:13
NA,269.46,NA,0.04,200717,184114.308,2017-07-20 18:41:14
NA,269.46,NA,0.03,200717,184115.308,2017-07-20 18:41:15
NA,269.46,NA,0.12,200717,184116.308,2017-07-20 18:41:16
NA,269.46,NA,0.18,200717,184117.308,2017-07-20 18:41:17
